Fecha,Precio,Probabilidad,Accion,Motivo,Equity
2026-09-16,76150.3203125,0.4637527895066944,ESPERAR,PROBABILIDAD BAJO UMBRAL,10000.0
2026-09-17,76403.7734375,0.4746573501860316,ESPERAR,PROBABILIDAD BAJO UMBRAL,10000.0
2026-09-18,80901.4609375,0.4250552478651919,ESPERAR,PROBABILIDAD BAJO UMBRAL,10000.0
2026-09-19,81233.6796875,0.4058938636111119,ESPERAR,PROBABILIDAD BAJO UMBRAL,10000.0
2026-09-20,81142.609375,0.3532427068114018,ESPERAR,PROBABILIDAD BAJO UMBRAL,10000.0
2026-09-21,86602.9140625,0.6046042559484733,ESPERAR,PROBABILIDAD BAJO UMBRAL,10000.0
2026-09-22,86172.28125,0.6132298840484913,ESPERAR,PROBABILIDAD BAJO UMBRAL,10000.0
2026-09-23,84383.0078125,0.5225046197173938,ESPERAR,PROBABILIDAD BAJO UMBRAL,10000.0
2026-09-24,84379.0625,0.4796532225125045,ESPERAR,PROBABILIDAD BAJO UMBRAL,10000.0
2026-09-25,84034.921875,0.4689242118931075,ESPERAR,PROBABILIDAD BAJO UMBRAL,10000.0
