Fecha,Precio,Probabilidad,RSI,MA50,MA200,Señal,Motivo
2026-09-16,76150.3203125,0.4637527895066944,46.30877699717681,71899.266953125,70283.498203125,ESPERAR,PROBABILIDAD BAJO UMBRAL
2026-09-17,76403.7734375,0.4746573501860316,29.48047500181123,72149.1790625,70336.8265625,ESPERAR,PROBABILIDAD BAJO UMBRAL
2026-09-18,80901.4609375,0.4250552478651919,54.165028003279616,72472.702109375,70397.454609375,ESPERAR,PROBABILIDAD BAJO UMBRAL
2026-09-19,81233.6796875,0.4058938636111119,54.71823812282856,72841.10078125,70462.154765625,ESPERAR,PROBABILIDAD BAJO UMBRAL
